Strategic Pillar,Category,Strategic Goal,Strategic Program,Q1 Objective,Q2 Objective,Q3 Objective,Q4 Objective,ORD LT Sponsor(s),Sponsor(s)/Lead(s),Reporting owner(s),Q1 Status,Q2 Status,Q3 Status,Q4 Status,Q1 Comments,Q2 Comments,Q3 Comments,Q4 Comments
Precision Medicine,Biomarker Discovery,Validate novel predictive biomarkers,BD-01 Validate Initiative 1,"In Q1 we will launch the BD-01 Validate Initiative 1 project in support of the strategic goal to validate novel predictive biomarkers. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. An early engagement with clinical teams will ensure downstream study readiness.",Achieve 50% of planned experiments for BD-01 Validate Initiative 1.,Complete data analysis phase of BD-01 Validate Initiative 1.,Submit year‑end review and next‑year plan for BD-01 Validate Initiative 1.,Dr. Alice Nguyen,Elijah Hernandez,Ethan Jackson,Green,,,,On track; milestones met.,,,
Precision Medicine,Biomarker Discovery,Validate novel predictive biomarkers,BD-02 Validate Initiative 2,"In Q1 we will launch the BD-02 Validate Initiative 2 project in support of the strategic goal to validate novel predictive biomarkers. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. Vendor assessments will be completed to decide on any external partnerships needed.",Achieve 50% of planned experiments for BD-02 Validate Initiative 2.,Complete data analysis phase of BD-02 Validate Initiative 2.,Submit year‑end review and next‑year plan for BD-02 Validate Initiative 2.,Dr. Alice Nguyen,Noah Martin,Ethan Jackson,Green,,,,On track; milestones met.,,,
Precision Medicine,Biomarker Discovery,Validate novel predictive biomarkers,BD-03 Validate Initiative 3,"In Q1 we will launch the BD-03 Validate Initiative 3 project in support of the strategic goal to validate novel predictive biomarkers. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. We will set up a dashboard to track milestones and provide transparent real‑time updates. By quarter close, we expect to have a resourced, scheduled, and risk‑assessed plan endorsed by sponsors.",Achieve 50% of planned experiments for BD-03 Validate Initiative 3.,Complete data analysis phase of BD-03 Validate Initiative 3.,Submit year‑end review and next‑year plan for BD-03 Validate Initiative 3.,Dr. Alice Nguyen,Henry Garcia,Sophia Jackson,Green,,,,On track; milestones met.,,,
Precision Medicine,Biomarker Discovery,Expand tumor genomics database,BD-04 Expand Initiative 4,"In Q1 we will launch the BD-04 Expand Initiative 4 project in support of the strategic goal to expand tumor genomics database. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. We will set up a dashboard to track milestones and provide transparent real‑time updates. Our stretch goal is to initiate early pilot work so that data is available for Q2 decision gates.",Achieve 50% of planned experiments for BD-04 Expand Initiative 4.,Complete data analysis phase of BD-04 Expand Initiative 4.,Submit year‑end review and next‑year plan for BD-04 Expand Initiative 4.,Dr. Alice Nguyen,James Wilson,James Lopez,Amber,,,,Minor delays; mitigation plan in place.,,,
Precision Medicine,Biomarker Discovery,Expand tumor genomics database,BD-05 Expand Initiative 5,"In Q1 we will launch the BD-05 Expand Initiative 5 project in support of the strategic goal to expand tumor genomics database. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. We will set up a dashboard to track milestones and provide transparent real‑time updates.",Achieve 50% of planned experiments for BD-05 Expand Initiative 5.,Complete data analysis phase of BD-05 Expand Initiative 5.,Submit year‑end review and next‑year plan for BD-05 Expand Initiative 5.,Dr. Alice Nguyen,Charlotte Lopez,James Lopez,Green,,,,On track; milestones met.,,,
Precision Medicine,Biomarker Discovery,Expand tumor genomics database,BD-06 Expand Initiative 6,"In Q1 we will launch the BD-06 Expand Initiative 6 project in support of the strategic goal to expand tumor genomics database. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. Risks and mitigation strategies will be documented early to ensure the program remains on track.",Achieve 50% of planned experiments for BD-06 Expand Initiative 6.,Complete data analysis phase of BD-06 Expand Initiative 6.,Submit year‑end review and next‑year plan for BD-06 Expand Initiative 6.,Dr. Alice Nguyen,Henry Rodriguez,Isabella Anderson,Green,,,,On track; milestones met.,,,
Precision Medicine,Biomarker Discovery,Advance single‑cell analytics platform,BD-07 Advance Initiative 7,"In Q1 we will launch the BD-07 Advance Initiative 7 project in support of the strategic goal to advance single‑cell analytics platform. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. Vendor assessments will be completed to decide on any external partnerships needed. Our stretch goal is to initiate early pilot work so that data is available for Q2 decision gates.",Achieve 50% of planned experiments for BD-07 Advance Initiative 7.,Complete data analysis phase of BD-07 Advance Initiative 7.,Submit year‑end review and next‑year plan for BD-07 Advance Initiative 7.,Dr. Alice Nguyen,Benjamin Smith,Jacob Brown,Green,,,,On track; milestones met.,,,
Precision Medicine,Biomarker Discovery,Advance single‑cell analytics platform,BD-08 Advance Initiative 8,"In Q1 we will launch the BD-08 Advance Initiative 8 project in support of the strategic goal to advance single‑cell analytics platform. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. An early engagement with clinical teams will ensure downstream study readiness. Quarter‑end exit criteria include a locked protocol, budget sign‑off, and an agreed set of KPIs.",Achieve 50% of planned experiments for BD-08 Advance Initiative 8.,Complete data analysis phase of BD-08 Advance Initiative 8.,Submit year‑end review and next‑year plan for BD-08 Advance Initiative 8.,Dr. Alice Nguyen,Olivia Hernandez,Olivia Hernandez,Green,,,,On track; milestones met.,,,
Precision Medicine,Biomarker Discovery,Advance single‑cell analytics platform,BD-09 Advance Initiative 9,"In Q1 we will launch the BD-09 Advance Initiative 9 project in support of the strategic goal to advance single‑cell analytics platform. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. We will set up a dashboard to track milestones and provide transparent real‑time updates. Quarter‑end exit criteria include a locked protocol, budget sign‑off, and an agreed set of KPIs.",Achieve 50% of planned experiments for BD-09 Advance Initiative 9.,Complete data analysis phase of BD-09 Advance Initiative 9.,Submit year‑end review and next‑year plan for BD-09 Advance Initiative 9.,Dr. Alice Nguyen,Benjamin Rodriguez,Olivia Hernandez,Amber,,,,Minor delays; mitigation plan in place.,,,
Precision Medicine,Targeted Therapies,Optimize next‑gen kinase inhibitors,TT-10 Optimize Initiative 10,In Q1 we will launch the TT-10 Optimize Initiative 10 project in support of the strategic goal to optimize next‑gen kinase inhibitors. The kick‑off will culminate in a signed execution plan and a communication roll‑out to all contributors. Risks and mitigation strategies will be documented early to ensure the program remains on track. Success for Q1 will be measured by completion of the scoped deliverables and endorsement from the Oncology R&D Leadership Team.,Achieve 50% of planned experiments for TT-10 Optimize Initiative 10.,Complete data analysis phase of TT-10 Optimize Initiative 10.,Submit year‑end review and next‑year plan for TT-10 Optimize Initiative 10.,Dr. Michael Rossi,Lucas Thomas,Charlotte Hernandez,Green,,,,On track; milestones met.,,,
