StrategicProgramID,StrategicGoalID,CategoryID,StrategicPillarID,Strategic Program,Q1 Objective,Q2 Objective,Q3 Objective,Q4 Objective,ORD LT Sponsor(s),Sponsor(s)/Lead(s),Reporting owner(s),Q1 Status,Q2 Status,Q3 Status,Q4 Status,Q1 Comments,Q2 Comments,Q3 Comments,Q4 Comments
SP100,SG100,Cat100,SPill100,Another change.,In Q1 we will launch the BD-01 Validate Initiative 1 project in support of the strategic goal to validate novel predictive biomarkers. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. An early engagement with clinical teams will ensure downstream study readiness.,Achieve 50% of planned experiments for BD-01 Validate Initiative 1.,Complete data analysis phase of BD-01 Validate Initiative 1.,Submit year‑end review and next‑year plan for BD-01 Validate Initiative 1.,Dr. Alice Nguyen,on-track,exceeded,,exceeded,Critical biomarker validation initiative requiring robust study design and cross-functional team coordination. Success depends on establishing clear validation criteria and patient cohort identification protocols.,,,
SP101,SG101,Cat100,SPill100,Change.,In Q1 we will launch the BD-02 Validate Initiative 2 project in support of the strategic goal to validate novel predictive biomarkers. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. Vendor assessments will be completed to decide on any external partnerships needed.,Achieve 50% of planned experiments for BD-02 Validate Initiative 2.,Complete data analysis phase of BD-02 Validate Initiative 2.,Submit year‑end review and next‑year plan for BD-02 Validate Initiative 2.,Dr. Alice Nguyen,missed,exceeded,delayed,on-track,Second phase biomarker validation project building on BD-01 learnings. Focus on protocol standardization and data quality assurance will be essential for regulatory acceptance.,,,
SP102,SG101,Cat100,SPill100,BD-03 Validate Initiative 3,In Q1 we will launch the BD-03 Validate Initiative 3 project in support of the strategic goal to validate novel predictive biomarkers. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. We will set up a dashboard to track milestones and provide transparent real‑time updates. By quarter close, we expect to have a resourced, scheduled, and risk‑assessed plan endorsed by sponsors.,Achieve 50% of planned experiments for BD-03 Validate Initiative 3.,exceeded,,,,Comprehensive biomarker validation program requiring integrated approach across discovery platforms. Protocol development and statistical analysis plan will be key deliverables for regulatory pathway.,,,
SP103,SG102,Cat100,SPill100,BD-04 Expand Initiative 4,In Q1 we will launch the BD-04 Expand Initiative 4 project in support of the strategic goal to expand tumor genomics database. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. We will set up a dashboard to track milestones and provide transparent real‑time updates. Our stretch goal is to initiate early pilot work so that data is available for Q2 decision gates.,Achieve 50% of planned experiments for BD-04 Expand Initiative 4.,Complete data analysis phase of BD-04 Expand Initiative 4.,Submit year‑end review and next‑year plan for BD-04 Expand Initiative 4.,Dr. Alice Nguyen,Green,exceeded,,,Database expansion initiative leveraging existing genomics infrastructure. Success requires robust data governance framework and integration with existing clinical datasets.,,,
SP104,SG102,Cat100,SPill100,BD-05 Expand Initiative 5,In Q1 we will launch the BD-05 Expand Initiative 5 project in support of the strategic goal to expand tumor genomics database. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. We will set up a dashboard to track milestones and provide transparent real‑time updates.,Achieve 50% of planned experiments for BD-05 Expand Initiative 5.,Complete data analysis phase of BD-05 Expand Initiative 5.,Submit year‑end review and next‑year plan for BD-05 Expand Initiative 5.,Dr. Alice Nguyen,Green,,,,Large-scale genomics database project requiring significant computational resources and data management capabilities. Team assembly and technical infrastructure planning will be critical for execution.,,,
SP105,SG102,Cat100,SPill100,BD-06 Expand Initiative 6,In Q1 we will launch the BD-06 Expand Initiative 6 project in support of the strategic goal to expand tumor genomics database. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. Risks and mitigation strategies will be documented early to ensure the program remains on track.,Achieve 50% of planned experiments for BD-06 Expand Initiative 6.,Complete data analysis phase of BD-06 Expand Initiative 6.,Submit year‑end review and next‑year plan for BD-06 Expand Initiative 6.,Dr. Alice Nguyen,Red,,,,Advanced genomics expansion program requiring workshop-driven scope definition. Technical feasibility and resource allocation discussions will guide implementation strategy.,,,
SP106,SG103,Cat100,SPill100,BD-07 Advance Initiative 7,In Q1 we will launch the BD-07 Advance Initiative 7 project in support of the strategic goal to advance single‑cell analytics platform. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. Vendor assessments will be completed to decide on any external partnerships needed. Our stretch goal is to initiate early pilot work so that data is available for Q2 decision gates.,Achieve 50% of planned experiments for BD-07 Advance Initiative 7.,Complete data analysis phase of BD-07 Advance Initiative 7.,Submit year‑end review and next‑year plan for BD-07 Advance Initiative 7.,Dr. Alice Nguyen,Green,,,,Next-generation single-cell platform implementation requiring specialized technical expertise. Protocol development will focus on standardization and reproducibility across research applications.,,,
SP107,SG103,Cat100,SPill100,BD-08 Advance Initiative 8,In Q1 we will launch the BD-08 Advance Initiative 8 project in support of the strategic goal to advance single‑cell analytics platform. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. An early engagement with clinical teams will ensure downstream study readiness. Quarter‑end exit criteria include a locked protocol, budget sign‑off, and an agreed set of KPIs.,Achieve 50% of planned experiments for BD-08 Advance Initiative 8.,Complete data analysis phase of BD-08 Advance Initiative 8.,Green,,,,Advanced analytics platform deployment building on existing single-cell capabilities. Technical protocols and validation studies will be essential for platform adoption.,,,
SP108,SG103,Cat100,SPill100,BD-09 Advance Initiative 9,In Q1 we will launch the BD-09 Advance Initiative 9 project in support of the strategic goal to advance single‑cell analytics platform. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. We will set up a dashboard to track milestones and provide transparent real‑time updates. Quarter‑end exit criteria include a locked protocol, budget sign‑off, and an agreed set of KPIs.,Achieve 50% of planned experiments for BD-09 Advance Initiative 9.,Complete data analysis phase of BD-09 Advance Initiative 9.,Green,,,,Comprehensive single-cell analytics initiative requiring dedicated team formation. Platform integration and user training will be key success factors for widespread adoption.,,,
SP109,SG104,Cat101,SPill100,TT-10 Optimize Initiative 10,In Q1 we will launch the TT-10 Optimize Initiative 10 project in support of the strategic goal to optimize next‑gen kinase inhibitors. The kick‑off will culminate in a signed execution plan and a communication roll‑out to all contributors. Risks and mitigation strategies will be documented early to ensure the program remains on track. Success for Q1 will be measured by completion of the scoped deliverables and endorsement from the Oncology R&D Leadership Team.,Achieve 50% of planned experiments for TT-10 Optimize Initiative 10.,Complete data analysis phase of TT-10 Optimize Initiative 10.,Submit year‑end review and next‑year plan for TT-10 Optimize Initiative 10.,Dr. Michael Rossi,Lucas Thomas,Charlotte Hernandez,Green,,,,Advanced kinase inhibitor optimization program with comprehensive execution planning. Risk mitigation strategies and leadership endorsement will be critical for maintaining program momentum and achieving quarterly milestones.,,,
SP110,SG104,Cat101,SPill100,TT-11 Optimize Initiative 11,In Q1 we will launch the TT-11 Optimize Initiative 11 project in support of the strategic goal to optimize next‑gen kinase inhibitors. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. Initial experiments or data pulls will begin by the end of the quarter to validate feasibility. Quarter‑end exit criteria include a locked protocol, budget sign‑off, and an agreed set of KPIs.,Achieve 50% of planned experiments for TT-11 Optimize Initiative 11.,Complete data analysis phase of TT-11 Optimize Initiative 11.,Green,,,,Kinase inhibitor development project requiring workshop-based scope refinement. Technical feasibility and competitive landscape analysis will guide development priorities.,,,
SP111,SG104,Cat101,SPill100,TT-12 Optimize Initiative 12,In Q1 we will launch the TT-12 Optimize Initiative 12 project in support of the strategic goal to optimize next‑gen kinase inhibitors. Our immediate focus will be to refine the scientific plan, align timelines with stakeholders, and allocate budget. Vendor assessments will be completed to decide on any external partnerships needed. By quarter close, we expect to have a resourced, scheduled, and risk‑assessed plan endorsed by sponsors.,Achieve 50% of planned experiments for TT-12 Optimize Initiative 12.,Green,,,,Strategic kinase inhibitor program focusing on scientific plan optimization. Molecular target validation and lead compound selection will be key decision points.,,,
SP112,SG105,Cat101,SPill100,TT-13 Develop Initiative 13,In Q1 we will launch the TT-13 Develop Initiative 13 project in support of the strategic goal to develop bispecific antibodies portfolio. This involves assembling the core team, finalizing the detailed project charter, and securing cross‑functional commitment. Initial experiments or data pulls will begin by the end of the quarter to validate feasibility. Completion of training for all contributors is also targeted within this timeframe.,Achieve 50% of planned experiments for TT-13 Develop Initiative 13.,Complete data analysis phase of TT-13 Develop Initiative 13.,Submit year‑end review and next‑year plan for TT-13 Develop Initiative 13.,Dr. Michael Rossi,Amber,,,,Bispecific antibody portfolio development requiring specialized immunology expertise. Team formation and technical platform establishment will be foundational for program success.,,,
SP113,SG105,Cat101,SPill100,TT-14 Develop Initiative 14,In Q1 we will launch the TT-14 Develop Initiative 14 project in support of the strategic goal to develop bispecific antibodies portfolio. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. Vendor assessments will be completed to decide on any external partnerships needed.,Achieve 50% of planned experiments for TT-14 Develop Initiative 14.,Complete data analysis phase of TT-14 Develop Initiative 14.,Submit year‑end review and next‑year plan for TT-14 Develop Initiative 14.,Dr. Michael Rossi,Green,,,,Advanced bispecific antibody program focusing on protocol standardization and development timelines. Manufacturing considerations and regulatory strategy will guide implementation approach.,,,
SP114,SG105,Cat101,SPill100,TT-15 Develop Initiative 15,In Q1 we will launch the TT-15 Develop Initiative 15 project in support of the strategic goal to develop bispecific antibodies portfolio. Key deliverables include drafting protocols, outlining resource requirements, and obtaining governance approval. Vendor assessments will be completed to decide on any external partnerships needed. By quarter close, we expect to have a resourced, scheduled, and risk‑assessed plan endorsed by sponsors.,Achieve 50% of planned experiments for TT-15 Develop Initiative 15.,Green,,,,Comprehensive bispecific development initiative requiring robust protocol framework. Clinical translation pathway and manufacturing scalability will be critical success factors.,,,
SP115,SG106,Cat101,SPill100,TT-16 Integrate Initiative 16,In Q1 we will launch the TT-16 Integrate Initiative 16 project in support of the strategic goal to integrate ai for target selection. We will host a series of workshops to solidify scope, clarify success metrics, and map dependencies. Initial experiments or data pulls will begin by the end of the quarter to validate feasibility.,Achieve 50% of planned experiments for TT-16 Integrate Initiative 16.,Complete data analysis phase of TT-16 Integrate Initiative 16.,Submit year‑end review and next‑year plan for TT-16 Integrate Initiative 16.,Dr. Michael Rossi,Green,,,,AI-powered target selection platform requiring interdisciplinary collaboration between computational and biological teams. Workshop outcomes will define technical specifications and validation approaches.,,,
